房屋编号,城市,区,方位,房屋名,大小,租赁方式,朝向,月租,计费方式,几室,几厅,几卫,入住,租期,看房,所在楼层,总楼层,电梯,车位,用水,用电,燃气,供暖
房源编号：BJ2564238489314918400,北京,丰台,丰台其它,东山坡一里,62㎡,整租,南/北,3100,季付价,2室,1厅,1卫,2020-08-08,3年以内,需提前预约,中楼层,6层,无,暂无数据,民水,民电,暂无数据,暂无数据
房源编号：BJ2566598240590381056,北京,顺义,顺义其它,水色时光五区,87㎡,整租,南/北,2700,季付价,2室,1厅,1卫,2020-07-31,2年以内,需提前预约,低楼层,11层,有,免费使用,暂无数据,民电,有,自采暖
房源编号：BJ2565853400348491776,北京,顺义,顺义城,滨河小区,60㎡,整租,南/北,2600,季付价,2室,1厅,1卫,随时入住,3年以内,需提前预约,低楼层,6层,无,免费使用,民水,民电,有,集中供暖
房源编号：BJ2426617786685202432,北京,丰台,和义,南苑北里一区,75㎡,整租,南/北,3700,季付价,2室,1厅,1卫,随时入住,2年以内,需提前预约,高楼层,6层,无,暂无数据,民水,民电,有,集中供暖
房源编号：BJ2399833435113005056,北京,大兴,枣园,新居里,80㎡,整租,南/北,2800,季付价,2室,1厅,1卫,随时入住,3年以上,需提前预约,高楼层,6层,无,免费使用,民水,民电,有,集中供暖
房源编号：BJ2566673739798282240,北京,海淀,学院路,逸成东苑,9㎡,合租,南卧,2400,季付价,4居,室 ,9㎡,随时入住,1年,随时可看,1,20层,有,租用车位,民水,民电,有,集中供暖
房源编号：BJ2502081503941361664,北京,朝阳,甘露园,甘露园南里,61㎡,整租,东/西,4500,季付价,2室,1厅,1卫,随时入住,2年以内,需提前预约,高楼层,6层,无,暂无数据,民水,民电,有,集中供暖
房源编号：BJ2549122575918186496,北京,海淀,海淀北部新区,北分厂,19㎡,合租,南卧,3190,季付价,2居,室 ,19,随时入住,1年,随时可看,2,4层,无,暂无数据,民水,民电,有,集中供暖
房源编号：BJ2565704681560997888,北京,大兴,南中轴机场商务区,首地浣溪谷,84㎡,整租,南/北,2600,NULL,2室,1厅,1卫,随时入住,1年以内,需提前预约,高楼层,9层,有,暂无数据,民水,民电,有,自采暖
房源编号：BJ2566758282714677248,北京,朝阳,首都机场,首都机场南路西里,7㎡,合租,北卧,1890,季付价,3居,室 ,7㎡,随时入住,1年,随时可看,4,5层,无,暂无数据,民水,民电,有,集中供暖
房源编号：BJ2566723846447579136,北京,大兴,观音寺,观音寺南里,68㎡,整租,东/南/北,2300,季付价,1室,1厅,1卫,2020-07-25,2年以内,需提前预约,高楼层,6层,无,免费使用,民水,民电,有,集中供暖
房源编号：BJ2566788778677248000,北京,顺义,顺义城,义宾北区,21㎡,合租,北卧,1730,季付价,3居,室 ,21,随时入住,1年,随时可看,4,6层,无,暂无数据,民水,民电,有,集中供暖
房源编号：BJ2566742024971886592,北京,西城,马甸,北三环中路,20㎡,合租,南卧,3000,季付价,4居,室 ,20,随时入住,1年以上,随时可看,6,6层,无,租用车位,民水,民电,有,集中供暖
房源编号：BJ2566638460601368576,北京,朝阳,南沙滩,北沙滩4号院,18㎡,合租,南卧,3000,季付价,4居,室 ,18,随时入住,1年,需提前预约,4,6层,无,租用车位,民水,民电,有,集中供暖
房源编号：BJ2564422199671005184,北京,丰台,青塔,青塔芳园,45㎡,整租,东,4000,半年付价,1室,1厅,1卫,随时入住,3年以内,需提前预约,高楼层,6层,无,暂无数据,民水,民电,有,集中供暖
房源编号：BJ2566652563537526784,北京,海淀,海淀北部新区,大牛坊二期,11㎡,合租,南卧,3660,季付价,2居,室 ,11,随时入住,1年,随时可看,10,14层,有,暂无数据,民水,民电,有,暂无数据
房源编号：BJ2564506387757400064,北京,顺义,李桥,馨港庄园二区,45㎡,整租,南/北,2200,NULL,1室,1厅,1卫,随时入住,1年以内,需提前预约,低楼层,6层,有,租用车位,民水,民电,有,集中供暖
房源编号：BJ2564079449712893952,北京,东城,东直门,东直门外小街10号院,10㎡,合租,北卧,2790,季付价,3居,室 ,10,随时入住,1年,随时可看,5,6层,无,暂无数据,民水,民电,有,集中供暖
房源编号：BJ2563876587888459776,北京,丰台,西红门,西宏苑,46㎡,整租,南/北,3000,NULL,1室,1厅,1卫,随时入住,1年以内,需提前预约,低楼层,6层,无,暂无数据,民水,民电,有,集中供暖
房源编号：BJ2566652018764546048,北京,海淀,牡丹园,塔院小区,16㎡,合租,南卧,4290,季付价,3居,室 ,16,随时入住,1年,随时可看,2,6层,无,暂无数据,民水,民电,有,集中供暖
房源编号：BJ2563644098901196800,北京,门头沟,石门营,京西紫金新园,39㎡,整租,南,2500,半年付价,1室,0厅,1卫,随时入住,1年以内,需提前预约,中楼层,16层,有,暂无数据,民水,民电,有,集中供暖
房源编号：BJ2563859947649499136,北京,丰台,玉泉营,造甲南里,55㎡,整租,东/西,4000,季付价,2室,1厅,1卫,2020-08-12,3年以内,需提前预约,高楼层,6层,无,暂无数据,民水,民电,有,集中供暖
房源编号：BJ2565792977406664704,北京,大兴,南中轴机场商务区,蓝桥驿苑,56㎡,整租,南/北,2400,年付价,1室,1厅,1卫,随时入住,3年以内,需提前预约,低楼层,18层,有,租用车位,民水,民电,有,自采暖
房源编号：BJ2562163613976764416,北京,丰台,和义,世嘉丽晶,48㎡,整租,南,3800,NULL,1室,1厅,1卫,随时入住,暂无数据,需提前预约,高楼层,6层,无,暂无数据,民水,民电,有,集中供暖
房源编号：BJ2562322692888346624,北京,西城,新街口,新街口西里一区,44㎡,整租,东/西,5000,季付价,1室,1厅,1卫,随时入住,3年以内,需提前预约,地下室,6层,无,暂无数据,民水,民电,有,自采暖
房源编号：BJ2566651649296695296,北京,海淀,清河,后屯路32号院,16㎡,合租,南卧,2300,季付价,5居,室 ,16,随时入住,1年,随时可看,6,6层,无,暂无数据,民水,民电,有,集中供暖
房源编号：BJ2562382924167528448,北京,通州,武夷花园,玉桥中路2号院,54㎡,整租,南/北,2700,季付价,2室,1厅,1卫,随时入住,3年以内,需提前预约,高楼层,6层,无,暂无数据,民水,民电,有,集中供暖
房源编号：BJ2566590825799106560,北京,昌平,西三旗,金榜园,11㎡,合租,北卧,2830,季付价,3居,室 ,11,随时入住,1年,随时可看,1,6层,无,暂无数据,民水,民电,有,集中供暖
房源编号：BJ2562838017073225728,北京,石景山,八角,八角中里,37㎡,整租,南,3500,季付价,1室,1厅,1卫,随时入住,3年以内,需提前预约,低楼层,6层,无,免费使用,民水,民电,有,集中供暖
房源编号：BJ2562843998318231552,北京,丰台,科技园区,富丰园小区,48㎡,整租,南/北,4000,季付价,1室,1厅,1卫,随时入住,2年以内,需提前预约,中楼层,6层,无,暂无数据,民水,民电,有,集中供暖
房源编号：BJ2562958814244503552,北京,丰台,丰台其它,张郭庄小区,55㎡,整租,南,2500,季付价,2室,1厅,1卫,随时入住,3年以内,需提前预约,高楼层,6层,无,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据
房源编号：BJ2562173844362371072,北京,朝阳,定福庄,五建小区,41㎡,整租,南,4000,季付价,1室,1厅,1卫,随时入住,2年以内,需提前预约,低楼层,6层,无,暂无数据,民水,民电,有,集中供暖
房源编号：BJ2562928106956390400,北京,朝阳,管庄,瑞祥里B6区,47㎡,整租,西北,3500,季付价,1室,1厅,1卫,随时入住,3年以内,需提前预约,低楼层,6层,无,租用车位,民水,民电,有,自采暖
房源编号：BJ2563081606739009536,北京,丰台,科技园区,天兴家园,50㎡,整租,东,3800,季付价,1室,1厅,1卫,随时入住,3年以内,需提前预约,高楼层,25层,有,租用车位,民水,民电,有,自采暖
房源编号：BJ2562247683053977600,北京,海淀,紫竹桥,车道沟南里,37㎡,整租,东,4600,季付价,1室,1厅,1卫,随时入住,3年以上,需提前预约,低楼层,21层,有,暂无数据,民水,民电,有,集中供暖
房源编号：BJ2566635041371193344,北京,海淀,二里庄,石油大院,17㎡,合租,北卧,2888,季付价,3居,室 ,17,随时入住,11~12个月,随时可看,1,6层,无,租用车位,民水,民电,有,集中供暖
房源编号：BJ2562146724663795712,北京,顺义,顺义城,义宾北区,44㎡,整租,南,2800,季付价,1室,1厅,1卫,2020-07-25,3年以内,需提前预约,低楼层,6层,无,免费使用,民水,民电,有,集中供暖
房源编号：BJ2566633806996455424,北京,海淀,二里庄,石油大院,24㎡,合租,南卧,3666,季付价,3居,室 ,24,随时入住,11~12个月,随时可看,1,6层,无,租用车位,民水,民电,有,集中供暖
房源编号：BJ2563086587550507008,北京,海淀,马连洼,天秀花园澄秀园,40㎡,整租,北,4500,季付价,1室,1厅,1卫,随时入住,3年以内,需提前预约,低楼层,1层,无,暂无数据,暂无数据,暂无数据,有,自采暖
房源编号：BJ2566802438065758208,北京,朝阳,朝阳公园,泰华滨河苑,10㎡,合租,西卧,3030,季付价,2居,室 ,10,随时入住,1年,随时可看,3,27层,有,暂无数据,民水,民电,有,集中供暖
房源编号：BJ2562856550033268736,北京,海淀,六里桥,吴家村路10号院,54㎡,整租,南/北,4200,季付价,1室,1厅,1卫,随时入住,1年以内,需提前预约,高楼层,6层,无,暂无数据,民水,民电,有,集中供暖
房源编号：BJ2566670322833301504,北京,海淀,牡丹园,都景苑,20㎡,合租,西南卧,3000,季付价,4居,室 ,20,随时入住,11~12个月,随时可看,9,20层,有,暂无数据,民水,民电,有,集中供暖
房源编号：BJ2566666377151135744,北京,西城,牛街,白广路,14㎡,合租,东卧,3690,季付价,3居,室 ,14,随时入住,1年,随时可看,3,6层,无,暂无数据,民水,民电,有,集中供暖
房源编号：BJ2566728050826027008,北京,大兴,枣园,首邑溪谷,10㎡,合租,北卧,2460,季付价,3居,室 ,10,随时入住,1年,随时可看,20,27层,有,租用车位,民水,民电,有,集中供暖
房源编号：BJ2562146724663795712,北京,顺义,顺义城,义宾北区,44㎡,整租,南,2800,季付价,1室,1厅,1卫,2020-07-25,3年以内,需提前预约,低楼层,6层,无,免费使用,民水,民电,有,集中供暖
房源编号：BJ2566635233722245120,北京,海淀,知春路,首体家属院,23㎡,合租,南卧,3500,季付价,3居,室 ,23,随时入住,11~12个月,随时可看,3,6层,无,暂无数据,民水,民电,有,暂无数据
房源编号：BJ2564403216083599360,北京,丰台,和义,南苑北里三区,42㎡,整租,南,3300,季付价,1室,1厅,1卫,2020-08-01,暂无数据,需提前预约,中楼层,5层,无,租用车位,民水,民电,有,集中供暖
房源编号：BJ2566635233621311488,北京,海淀,知春路,首体家属院,10㎡,合租,北卧,2800,季付价,3居,室 ,10,随时入住,11~12个月,随时可看,3,6层,无,暂无数据,民水,民电,有,暂无数据
房源编号：BJ2563558943943303168,北京,丰台,看丹桥,南开地,44㎡,整租,南/北,3400,季付价,2室,1厅,1卫,随时入住,3年以内,需提前预约,低楼层,5层,无,免费使用,民水,民电,有,集中供暖
房源编号：BJ2563807229887119360,北京,顺义,顺义城,前进花园一区,10㎡,合租,北卧,1590,季付价,2居,室 ,10,随时入住,1年,随时可看,5,6层,无,暂无数据,民水,民电,有,集中供暖
