城市,区,方位,小区名,大小,租赁方式,朝向,月租,计费方式,几室,几厅,几卫,入住,租期,看房,所在楼层,总楼层,电梯,车位,用水,用电,暖气,采暖
北京,海淀,西三旗,建材城西二里,59,整租,北,5990,季付价,2,1,1,随时入住,1年,随时可看,低楼层,6,NULL,NULL,NULL,NULL,NULL,NULL
北京,朝阳,潘家园,潘家园东里,69,整租,西,5500,季付价,2,1,1,随时入住,2年以内,需提前预约,低楼层,18,有,NULL,民水,民电,有,集中供暖
北京,海淀,安宁庄,上林溪,75,整租,南,6000,季付价,2,1,1,2019731,1年以内,需提前预约,低楼层,9,有,NULL,民水,民电,有,集中供暖
北京,朝阳,常营,北京新天地四期,73,整租,南,6000,季付价,1,2,1,2019831,3年以内,需提前预约,中楼层,20,有,NULL,民水,民电,有,集中供暖
北京,海淀,西三旗,建材城西二里,64,整租,东,5990,季付价,2,1,1,随时入住,1年,随时可看,低楼层,6,NULL,NULL,NULL,NULL,NULL,NULL
北京,朝阳,定福庄,美然动力A3区,53,整租,南,5790,季付价,1,1,1,随时入住,1年,随时可看,低楼层,6,NULL,NULL,NULL,NULL,NULL,NULL
北京,朝阳,潘家园,松榆里,46,整租,东,5000,NULL,1,1,1,2019820,NULL,需提前预约,低楼层,6,无,NULL,民水,民电,有,集中供暖
北京,朝阳,十里河,吕营嘉园C区,90,整租,南,6200,NULL,2,1,1,随时入住,NULL,需提前预约,中楼层,6,无,NULL,民水,民电,有,自采暖
北京,丰台,大红门,建欣苑四里,47,整租,东,4500,NULL,1,1,1,随时入住,NULL,需提前预约,高楼层,6,无,NULL,民水,民电,有,集中供暖
北京,朝阳,定福庄,天泰定福苑,56,整租,西,5530,季付价,1,1,1,随时入住,1年,随时可看,低楼层,6,NULL,NULL,NULL,NULL,NULL,NULL
北京,朝阳,管庄,管庄西里,58,整租,南,5390,季付价,2,1,1,随时入住,1年,随时可看,低楼层,6,NULL,NULL,NULL,NULL,NULL,NULL
北京,朝阳,甘露园,甘露家园,70,整租,南,6300,季付价,3,1,1,随时入住,2年以内,需提前预约,中楼层,6,无,NULL,民水,民电,有,集中供暖
北京,朝阳,潘家园,松榆西里,59,整租,南,6200,季付价,1,1,1,201986,3年以内,需提前预约,高楼层,6,无,NULL,民水,民电,有,集中供暖
北京,西城,右安门内,白纸坊街25号院,48,整租,南,4900,NULL,2,0,1,随时入住,NULL,需提前预约,高楼层,5,无,NULL,民水,民电,有,集中供暖
北京,朝阳,望京,南湖东园二区,54,整租,东,6200,NULL,1,1,1,2019731,NULL,需提前预约,中楼层,14,有,NULL,民水,民电,有,集中供暖
北京,朝阳,首都机场,南平里,58,整租,北,4360,季付价,2,1,1,随时入住,1年,随时可看,低楼层,6,NULL,NULL,NULL,NULL,NULL,NULL
北京,丰台,看丹桥,新华街一里,44,整租,南,3500,NULL,1,1,1,随时入住,NULL,需提前预约,中楼层,6,无,NULL,民水,民电,有,集中供暖
北京,西城,木樨地,汽南小区,36,整租,东,6030,季付价,1,1,1,随时入住,1年,随时可看,低楼层,5,NULL,NULL,NULL,NULL,NULL,NULL
北京,朝阳,管庄,京通苑,64,整租,南,4000,季付价,1,1,1,2019811,2年以内,需提前预约,低楼层,24,有,NULL,民水,民电,有,集中供暖
北京,东城,崇文门,法华南里,48,整租,西,5730,季付价,1,1,1,随时入住,1年,随时可看,低楼层,6,NULL,NULL,NULL,NULL,NULL,NULL
北京,朝阳,管庄,京通苑,63,整租,东,4600,季付价,1,1,1,2019820,2年以内,需提前预约,中楼层,24,有,NULL,民水,民电,有,集中供暖
北京,朝阳,东坝,东泽园,77,整租,南,6048,月付价,2,1,1,随时入住,3~12个月,随时可看,低楼层,20,NULL,NULL,NULL,NULL,NULL,NULL
北京,朝阳,十里河,周庄嘉园东里,48,整租,南,4600,季付价,1,0,1,随时入住,3年以上,需提前预约,低楼层,6,无,NULL,民水,民电,有,集中供暖
北京,石景山,苹果园,海特花园小区,54,整租,南,4300,季付价,1,1,1,随时入住,3年以内,需提前预约,高楼层,7,无,NULL,民水,民电,有,集中供暖
北京,朝阳,西坝河,西坝河东里,58,整租,南,6000,NULL,2,1,1,201981,NULL,一般下班后可看,低楼层,6,无,NULL,民水,民电,有,集中供暖
北京,朝阳,和平里,和平街西苑,46,整租,南,5600,NULL,1,1,1,2019731,NULL,需提前预约,低楼层,20,有,NULL,民水,民电,有,集中供暖
北京,朝阳,芍药居,芍药居,50,整租,南,6200,季付价,1,1,1,201981,2年以内,需提前预约,高楼层,18,有,NULL,民水,民电,有,集中供暖
北京,朝阳,东坝,上东上层,57,整租,东,4960,季付价,1,1,1,随时入住,1年,随时可看,低楼层,12,NULL,NULL,NULL,NULL,NULL,NULL
北京,朝阳,豆各庄,富力又一城C区,92,整租,南,6200,NULL,2,2,1,随时入住,NULL,需提前预约,低楼层,22,有,NULL,民水,民电,有,自采暖
北京,海淀,定慧寺,恩济里小区,48,整租,南,5600,半年付价,1,1,1,2019815,3年以上,需提前预约,低楼层,15,有,NULL,民水,民电,有,集中供暖
北京,朝阳,定福庄,定福庄西里2号院,53,整租,南,4700,NULL,2,1,1,2019810,NULL,需提前预约,低楼层,5,无,NULL,民水,民电,有,集中供暖
北京,朝阳,定福庄,定福庄西里2号院,56,整租,南,4500,NULL,2,1,1,随时入住,NULL,需提前预约,高楼层,5,无,NULL,民水,民电,有,集中供暖
北京,海淀,安宁庄,安宁里南区,75,整租,南,5200,季付价,2,1,1,2019821,2年以内,需提前预约,高楼层,7,无,NULL,民水,民电,有,集中供暖
北京,石景山,苹果园,西井小区三区,57,整租,西,4500,NULL,2,1,1,随时入住,NULL,需提前预约,中楼层,6,无,NULL,民水,民电,有,集中供暖
北京,朝阳,高碑店,南太平庄北巷,54,整租,南,4700,NULL,2,1,1,随时入住,NULL,需提前预约,低楼层,6,无,NULL,民水,民电,有,集中供暖
北京,海淀,公主坟,翠微南里,36,整租,西,4830,季付价,1,1,1,随时入住,1年,随时可看,低楼层,6,NULL,NULL,NULL,NULL,NULL,NULL
北京,朝阳,华威桥,南新园,56,整租,西,4900,季付价,1,1,1,2019826,2年以内,需提前预约,低楼层,24,有,NULL,民水,民电,有,集中供暖
北京,朝阳,石佛营,炫特嘉园二期,36,整租,北,5790,季付价,1,1,1,随时入住,1年,随时可看,低楼层,28,NULL,NULL,NULL,NULL,NULL,NULL
北京,朝阳,华威桥,南新园,51,整租,西,5100,NULL,1,1,1,2019728,NULL,需提前预约,中楼层,24,有,NULL,民水,民电,有,集中供暖
北京,海淀,五棵松,永金里小区,61,整租,东,6200,NULL,2,1,1,2019820,NULL,需提前预约,低楼层,7,无,NULL,民水,民电,有,集中供暖
北京,亦庄开发区,亦庄开发区其它,泰河园七里,80,整租,南,4000,NULL,2,1,1,随时入住,NULL,一般下班后可看,中楼层,12,有,NULL,民水,民电,有,集中供暖
北京,朝阳,石佛营,炫特嘉园二期,42,整租,西,5630,季付价,1,1,1,随时入住,1年,随时可看,低楼层,28,NULL,NULL,NULL,NULL,NULL,NULL
北京,朝阳,首都机场,东平里,37,整租,南,3860,季付价,1,1,1,随时入住,1年,随时可看,低楼层,6,NULL,NULL,NULL,NULL,NULL,NULL
北京,西城,白纸坊,建功北里,48,整租,东,6190,季付价,1,1,1,随时入住,1年,随时可看,中楼层,6,NULL,NULL,NULL,NULL,NULL,NULL
北京,西城,广安门,车站西街17号院,35,整租,南,5090,季付价,1,1,1,随时入住,1年,随时可看,低楼层,6,NULL,NULL,NULL,NULL,NULL,NULL
北京,海淀,六里桥,吴家村路10号院,49,整租,北,5660,季付价,1,1,1,随时入住,1年,随时可看,中楼层,6,NULL,NULL,NULL,NULL,NULL,NULL
北京,东城,崇文门,新景家园东区,30,整租,西,6000,NULL,1,0,1,2019810,NULL,需提前预约,高楼层,15,有,NULL,民水,民电,有,集中供暖
北京,朝阳,定福庄,美然动力A1区,51,整租,南,5530,季付价,1,1,1,随时入住,1年,随时可看,中楼层,14,NULL,NULL,NULL,NULL,NULL,NULL
北京,海淀,清河,小营东路5号院,60,整租,南,6000,季付价,2,1,1,201986,3年以内,需提前预约,低楼层,4,无,NULL,民水,民电,有,集中供暖
北京,朝阳,常营,常楹公元自由派,37,整租,东,5345,月付价,1,1,1,随时入住,3~12个月,随时可看,中楼层,23,NULL,NULL,NULL,NULL,NULL,NULL
北京,朝阳,常营,保利嘉园三号院,70,整租,南,6300,季付价,2,1,1,2019731,3年以上,需提前预约,低楼层,11,有,NULL,民水,民电,有,自采暖
北京,朝阳,东坝,东泽园,73,整租,南,6017,月付价,2,1,1,随时入住,3~12个月,随时可看,中楼层,21,NULL,NULL,NULL,NULL,NULL,NULL
北京,朝阳,常营,北京新天地一期,60,整租,北,4900,季付价,1,1,1,随时入住,3年以内,需提前预约,高楼层,28,有,NULL,民水,民电,有,集中供暖
北京,朝阳,甘露园,朝阳无限,43,整租,东,5300,NULL,1,0,1,随时入住,NULL,需提前预约,高楼层,14,有,NULL,民水,民电,有,集中供暖
北京,大兴,大兴其它,南海家园七里,65,整租,南,3200,季付价,1,1,1,2019815,3年以上,需提前预约,高楼层,20,无,NULL,NULL,NULL,NULL,NULL
北京,朝阳,华威桥,双龙南里,49,整租,南,4800,季付价,1,1,1,随时入住,2年以内,需提前预约,中楼层,6,无,NULL,民水,民电,有,集中供暖
北京,东城,安贞,小黄庄一区,44,整租,东,6300,NULL,1,1,1,随时入住,NULL,需提前预约,低楼层,21,有,NULL,民水,民电,有,集中供暖
北京,西城,太平桥,湾子街社区,42,整租,南,5660,季付价,1,1,1,随时入住,1年,随时可看,中楼层,6,NULL,NULL,NULL,NULL,NULL,NULL
北京,朝阳,双井,双花园西里,56,整租,南,6000,季付价,2,1,1,随时入住,1年以内,需提前预约,高楼层,6,无,NULL,民水,民电,有,集中供暖
北京,海淀,清河,电力宿舍,64,整租,东,6000,季付价,2,1,1,2019825,1年以内,需提前预约,中楼层,14,有,NULL,民水,民电,有,集中供暖
北京,西城,牛街,牛街东里,80,整租,西,6000,NULL,2,1,1,随时入住,NULL,一般下班后可看,中楼层,19,有,NULL,民水,民电,有,集中供暖
北京,丰台,和义,和义西里三区,85,整租,南,4500,NULL,2,1,1,随时入住,NULL,需提前预约,低楼层,6,无,NULL,民水,民电,有,集中供暖
北京,西城,白纸坊,建功北里,47,整租,南,4600,季付价,1,1,1,随时入住,NULL,需提前预约,中楼层,6,无,NULL,民水,民电,有,集中供暖
北京,西城,陶然亭,畅柳园,52,整租,南,6100,季付价,1,1,1,随时入住,3年以上,需提前预约,中楼层,16,有,NULL,民水,民电,有,集中供暖
北京,海淀,田村,西木小区,55,整租,南,5900,NULL,2,1,1,随时入住,NULL,需提前预约,高楼层,7,无,NULL,民水,民电,有,集中供暖
北京,东城,和平里,安外花园,32,整租,南,6260,季付价,1,1,1,随时入住,1年,随时可看,中楼层,6,NULL,NULL,NULL,NULL,NULL,NULL
北京,西城,白纸坊,恬心家园,65,整租,南,6000,季付价,1,1,1,2019811,3年以内,需提前预约,中楼层,19,有,NULL,民水,民电,有,集中供暖
北京,海淀,玉泉路,金隅瑞和园,57,整租,南,5590,季付价,1,1,1,随时入住,1年,随时可看,低楼层,16,NULL,NULL,NULL,NULL,NULL,NULL
北京,西城,右安门内,信建里小区,64,整租,南,5800,季付价,2,1,1,随时入住,NULL,需提前预约,中楼层,6,无,NULL,民水,民电,有,集中供暖
北京,昌平,沙河,北街家园八区,34,整租,东,2500,季付价,1,0,1,2019731,2年以内,需提前预约,低楼层,18,有,NULL,民水,民电,无,集中供暖
北京,丰台,方庄,芳星园二区,42,整租,东,4600,季付价,1,1,1,随时入住,1年以内,需提前预约,高楼层,14,有,NULL,民水,民电,有,集中供暖
北京,海淀,玉泉路,玉海园三里,56,整租,东,5390,季付价,1,1,1,随时入住,1年,随时可看,低楼层,6,NULL,NULL,NULL,NULL,NULL,NULL
北京,西城,马连道,茶贸国际中心,34,整租,西,4530,季付价,1,1,1,随时入住,1年,随时可看,低楼层,20,NULL,NULL,NULL,NULL,NULL,NULL
北京,海淀,玉泉路,玉海园五里,46,整租,南,5460,季付价,1,1,1,随时入住,1年,随时可看,低楼层,6,NULL,NULL,NULL,NULL,NULL,NULL
北京,海淀,马连洼,天秀花园澄秀园,50,整租,北,5360,季付价,1,1,1,随时入住,1年,随时可看,低楼层,1,NULL,NULL,NULL,NULL,NULL,NULL
北京,朝阳,管庄,瑞祥里,71,整租,南,4600,NULL,1,1,1,201991,NULL,需提前预约,低楼层,10,有,NULL,民水,民电,有,自采暖
北京,朝阳,首都机场,燕翔西里,39,整租,南,4190,季付价,1,1,1,随时入住,1年,随时可看,低楼层,6,NULL,NULL,NULL,NULL,NULL,NULL
北京,朝阳,东坝,金隅景和园,87,整租,南,5800,NULL,2,1,1,随时入住,NULL,需提前预约,低楼层,21,无,NULL,NULL,NULL,有,集中供暖
北京,朝阳,北苑,美立方,36,整租,西,5975,月付价,1,1,1,随时入住,3~12个月,随时可看,中楼层,20,NULL,NULL,NULL,NULL,NULL,NULL
北京,朝阳,定福庄,定福庄南里1号院,55,整租,南,5800,季付价,2,1,2,2019824,2年以内,需提前预约,高楼层,5,无,NULL,民水,民电,有,集中供暖
北京,朝阳,南沙滩,南沙滩小区,44,整租,南,5600,季付价,1,1,1,随时入住,3年以上,需提前预约,高楼层,15,有,NULL,民水,民电,有,集中供暖
北京,海淀,清河,怡清园,79,整租,南,6100,NULL,2,1,1,随时入住,NULL,需提前预约,中楼层,6,无,NULL,民水,民电,有,集中供暖
北京,丰台,旧宫,万源南里,57,整租,南,3700,NULL,2,1,1,随时入住,NULL,需提前预约,中楼层,6,无,NULL,民水,民电,有,集中供暖
北京,朝阳,定福庄,妇联小区,47,整租,西,4500,NULL,1,1,1,随时入住,NULL,需提前预约,高楼层,16,有,NULL,民水,民电,有,集中供暖
北京,朝阳,管庄,烟厂宿舍,55,整租,北,5560,季付价,2,1,1,随时入住,1年,随时可看,低楼层,6,NULL,NULL,NULL,NULL,NULL,NULL
北京,朝阳,定福庄,妇联小区,41,整租,南,4300,NULL,1,1,1,随时入住,NULL,需提前预约,中楼层,6,无,NULL,民水,民电,有,集中供暖
北京,海淀,安宁庄,阳光北里,52,整租,南,6130,季付价,1,1,1,随时入住,1年,随时可看,低楼层,18,NULL,NULL,NULL,NULL,NULL,NULL
北京,西城,马连道,茶贸国际中心,34,整租,南,4600,季付价,NULL,NULL,NULL,随时入住,1年以内,需提前预约,高楼层,20,有,NULL,商水,商电,无,集中供暖
北京,朝阳,石佛营,炫特嘉园三期,41,整租,北,5690,季付价,1,1,1,随时入住,1年,随时可看,中楼层,18,NULL,NULL,NULL,NULL,NULL,NULL
北京,西城,马连道,茶贸国际中心,29,整租,北,3600,季付价,NULL,NULL,NULL,随时入住,3年以内,需提前预约,中楼层,7,有,NULL,商水,商电,无,集中供暖
北京,大兴,黄村中,黄村西里,57,整租,南,3500,NULL,2,1,1,201985,NULL,需提前预约,中楼层,5,无,NULL,民水,民电,无,集中供暖
北京,朝阳,常营,保利嘉园一号院,71,整租,南,5500,NULL,2,1,1,随时入住,NULL,需提前预约,低楼层,11,有,NULL,民水,民电,有,自采暖
北京,海淀,西三旗,富力桃园C区,61,整租,西,5600,NULL,1,1,1,2019831,NULL,需提前预约,中楼层,21,有,NULL,民水,民电,有,集中供暖
北京,昌平,沙河,北街家园六区,63,整租,东,3600,季付价,2,1,1,随时入住,3年以内,需提前预约,高楼层,18,有,NULL,民水,民电,有,集中供暖
北京,朝阳,北苑,北苑家园莲葩园,67,整租,东,6130,季付价,1,1,1,随时入住,1年,随时可看,低楼层,25,NULL,NULL,NULL,NULL,NULL,NULL
北京,朝阳,十里河,周庄嘉园三期,50,整租,南,4750,NULL,1,1,1,2019728,NULL,需提前预约,高楼层,28,有,NULL,民水,民电,有,集中供暖
北京,朝阳,常营,北京像素北区,41,整租,北,4790,季付价,1,1,1,随时入住,1年,随时可看,低楼层,17,NULL,NULL,NULL,NULL,NULL,NULL
北京,海淀,西三旗,知本时代,50,整租,北,5100,NULL,1,1,1,2019815,NULL,一般下班后可看,低楼层,15,有,NULL,民水,民电,有,集中供暖
北京,朝阳,石佛营,炫特嘉园一期,37,整租,西,5730,季付价,1,1,1,随时入住,1年,随时可看,中楼层,28,NULL,NULL,NULL,NULL,NULL,NULL
北京,通州,梨园,11站,44,整租,南,3600,NULL,1,0,1,2019821,NULL,需提前预约,中楼层,18,有,NULL,民水,民电,有,集中供暖
北京,朝阳,双桥,东一时区,90,整租,南,5490,季付价,2,1,1,随时入住,1年,随时可看,低楼层,10,NULL,NULL,NULL,NULL,NULL,NULL
北京,东城,安定门,安德路55号院,38,整租,东,6200,季付价,1,1,1,随时入住,3年以上,需提前预约,中楼层,6,无,NULL,NULL,NULL,NULL,NULL
北京,昌平,鼓楼大街,南环里,36,整租,西,3330,季付价,1,1,1,随时入住,1年,随时可看,中楼层,10,NULL,NULL,NULL,NULL,NULL,NULL
北京,朝阳,定福庄,定福庄西街,73,整租,南,5500,季付价,2,1,1,随时入住,NULL,需提前预约,中楼层,6,无,NULL,民水,民电,有,集中供暖
北京,朝阳,管庄,管庄西里,62,整租,南,5390,季付价,2,1,1,随时入住,1年,随时可看,低楼层,6,NULL,NULL,NULL,NULL,NULL,NULL
北京,朝阳,定福庄,定福庄西街,73,整租,南,5500,季付价,2,1,1,随时入住,NULL,需提前预约,中楼层,6,无,NULL,民水,民电,有,集中供暖
北京,大兴,天宫院南,天恒旭辉7号院,37,整租,西,1800,NULL,2,1,1,随时入住,NULL,需提前预约,高楼层,6,无,NULL,NULL,NULL,NULL,NULL
北京,海淀,苏州桥,友谊社区,18,整租,北,3000,NULL,1,0,1,201981,NULL,需提前预约,高楼层,4,无,NULL,民水,民电,有,集中供暖
北京,昌平,沙河,北街家园五区,20,整租,东,1100,NULL,NULL,NULL,NULL,随时入住,1年以内,需提前预约,中楼层,28,有,NULL,商水,商电,无,自采暖
北京,西城,马连道,马连道路5号院,45,整租,东,5990,季付价,1,1,1,随时入住,1年,随时可看,低楼层,6,NULL,NULL,NULL,NULL,NULL,NULL
北京,海淀,清河,永泰东里,58,整租,南,6190,季付价,1,1,1,随时入住,1年,随时可看,低楼层,6,NULL,NULL,NULL,NULL,NULL,NULL
北京,朝阳,潘家园,潘家园小区,42,整租,南,5660,季付价,1,1,1,随时入住,1年,随时可看,中楼层,6,NULL,NULL,NULL,NULL,NULL,NULL
北京,通州,武夷花园,富力运河十号,9,整租,南,2200,NULL,1,0,1,随时入住,NULL,需提前预约,高楼层,30,无,NULL,民水,民电,有,集中供暖
北京,朝阳,东坝,上东上层,99,整租,南,6000,NULL,3,1,1,2019815,NULL,需提前预约,高楼层,6,无,NULL,民水,民电,有,自采暖
北京,丰台,青塔,张仪村4号院,44,整租,南,3000,NULL,1,1,1,随时入住,NULL,需提前预约,低楼层,6,无,NULL,民水,民电,有,集中供暖
北京,朝阳,石佛营,石佛营西里小区,45,整租,南,4700,季付价,1,1,1,2019831,2年以内,需提前预约,高楼层,6,无,NULL,民水,民电,有,集中供暖
北京,丰台,卢沟桥,晓月新城,41,整租,北,4085,月付价,1,1,1,随时入住,3~12个月,随时可看,低楼层,24,NULL,NULL,NULL,NULL,NULL,NULL
北京,海淀,四季青,绿波漫板,47,整租,北,6230,季付价,1,1,1,随时入住,1年,随时可看,低楼层,14,NULL,NULL,NULL,NULL,NULL,NULL
北京,昌平,东关,清秀园北区,35,整租,北,3560,季付价,1,1,1,随时入住,1年,随时可看,中楼层,7,NULL,NULL,NULL,NULL,NULL,NULL
北京,海淀,海淀北部新区,保利西山林语,88,整租,南,6200,NULL,2,1,1,2019826,NULL,需提前预约,中楼层,8,有,NULL,民水,民电,有,自采暖
北京,通州,北关,朝北8080,37,整租,北,3000,NULL,NULL,NULL,NULL,随时入住,NULL,需提前预约,中楼层,7,无,NULL,商水,商电,有,集中供暖
北京,朝阳,常营,北京新天地四期,65,整租,南,6300,季付价,1,1,1,2019810,2年以内,需提前预约,中楼层,20,有,NULL,民水,民电,有,集中供暖
北京,大兴,天宫院南,天恒旭辉7号院,37,整租,西,1800,NULL,2,1,1,随时入住,NULL,需提前预约,高楼层,6,无,NULL,NULL,NULL,NULL,NULL
北京,西城,牛街,泰和嘉苑,37,整租,东,5890,季付价,1,1,1,随时入住,1年,随时可看,低楼层,21,NULL,NULL,NULL,NULL,NULL,NULL
北京,海淀,厂洼,西三环北路23号院,35,整租,南,6190,季付价,1,1,1,随时入住,1年,随时可看,低楼层,6,NULL,NULL,NULL,NULL,NULL,NULL
北京,通州,潞苑,华龙小区,52,整租,南,3455,月付价,1,1,1,随时入住,3~12个月,随时可看,低楼层,6,NULL,NULL,NULL,NULL,NULL,NULL
北京,朝阳,常营,金隅丽景园,48,整租,东,4850,NULL,1,1,1,随时入住,NULL,一般下班后可看,低楼层,28,有,NULL,民水,民电,有,集中供暖
北京,通州,梨园,云景西里南区,46,整租,北,3000,NULL,1,1,1,随时入住,NULL,需提前预约,高楼层,6,无,NULL,民水,民电,有,集中供暖
北京,海淀,中关村,荣上居,33,整租,北,6300,季付价,1,0,1,随时入住,2年以内,需提前预约,低楼层,18,有,NULL,民水,民电,无,集中供暖
北京,东城,和平里,和平里七区,36,整租,南,5900,季付价,1,1,1,随时入住,NULL,需提前预约,中楼层,6,无,NULL,民水,民电,有,集中供暖
北京,通州,潞苑,华龙小区,63,整租,北,3560,月付价,1,1,1,随时入住,3~12个月,随时可看,低楼层,6,NULL,NULL,NULL,NULL,NULL,NULL
北京,西城,右安门内,新安南里,33,整租,南,5490,季付价,1,1,1,随时入住,1年,随时可看,低楼层,6,NULL,NULL,NULL,NULL,NULL,NULL
北京,海淀,公主坟,翠微东里,42,整租,南,5400,NULL,1,1,1,2019731,NULL,需提前预约,高楼层,18,有,NULL,民水,民电,有,集中供暖
北京,大兴,瀛海,兴海园,76,整租,南,3500,NULL,2,1,1,随时入住,NULL,需提前预约,低楼层,16,有,NULL,民水,民电,有,集中供暖
北京,东城,朝阳门内,仓南胡同12号院,36,整租,南,6000,季付价,2,1,1,2019731,NULL,需提前预约,低楼层,6,无,NULL,民水,民电,有,集中供暖
北京,朝阳,成寿寺,中海城北区,42,整租,北,5800,NULL,1,1,1,201984,NULL,需提前预约,中楼层,15,有,NULL,民水,民电,有,集中供暖
北京,朝阳,双桥,金隅康惠园,80,整租,南,6000,NULL,2,1,1,随时入住,NULL,需提前预约,高楼层,20,有,NULL,民水,民电,有,集中供暖
北京,西城,阜成门,展览路,35,整租,东,5300,NULL,1,1,1,随时入住,NULL,需提前预约,高楼层,6,无,NULL,民水,民电,有,集中供暖
北京,海淀,西三旗,育新花园,52,整租,南,4600,NULL,1,1,1,随时入住,NULL,需提前预约,高楼层,6,无,NULL,民水,民电,有,集中供暖
北京,海淀,海淀北部新区,保利西山林语,49,整租,南,4890,季付价,1,1,1,随时入住,1年,随时可看,低楼层,8,NULL,NULL,NULL,NULL,NULL,NULL
北京,西城,马连道,茶贸国际中心,34,整租,北,4630,季付价,1,1,1,随时入住,1年,随时可看,低楼层,12,NULL,NULL,NULL,NULL,NULL,NULL
北京,西城,马连道,茶贸国际中心,34,整租,北,4630,季付价,1,1,1,随时入住,1年,随时可看,中楼层,14,NULL,NULL,NULL,NULL,NULL,NULL
北京,海淀,西三旗,育新花园,70,整租,南,5500,NULL,2,1,1,2019815,NULL,一般下班后可看,低楼层,6,无,NULL,民水,民电,有,集中供暖
北京,朝阳,甜水园,道家园,59,整租,南,6000,季付价,2,1,1,随时入住,1年以内,需提前预约,低楼层,7,无,NULL,民水,民电,有,集中供暖
北京,石景山,苹果园,模式口西里,60,整租,南,3800,NULL,2,1,1,随时入住,NULL,需提前预约,中楼层,6,无,NULL,民水,民电,有,集中供暖
北京,朝阳,常营,北京像素南区,51,整租,南,5000,季付价,NULL,NULL,NULL,2019730,1年以内,需提前预约,低楼层,23,有,NULL,民水,民电,有,集中供暖
北京,朝阳,管庄,杨闸新村,58,整租,西,5160,季付价,1,1,1,随时入住,1年,随时可看,中楼层,18,NULL,NULL,NULL,NULL,NULL,NULL
北京,朝阳,常营,上线6号,52,整租,北,5230,季付价,1,1,1,随时入住,1年,随时可看,中楼层,15,NULL,NULL,NULL,NULL,NULL,NULL
北京,朝阳,燕莎,霞光里30号院,43,整租,南,6190,季付价,1,1,1,随时入住,1年,随时可看,低楼层,6,NULL,NULL,NULL,NULL,NULL,NULL
北京,朝阳,常营,北京像素南区,49,整租,东,5000,NULL,NULL,NULL,NULL,随时入住,NULL,需提前预约,中楼层,23,有,NULL,民水,民电,无,集中供暖
北京,朝阳,百子湾,大成国际,55,整租,南,5800,季付价,1,0,1,随时入住,1年以内,需提前预约,中楼层,21,有,NULL,民水,民电,无,集中供暖
北京,海淀,海淀北部新区,六里屯四区,45,整租,东,4500,NULL,1,0,1,201981,NULL,一般下班后可看,低楼层,15,无,NULL,NULL,NULL,NULL,NULL
北京,昌平,北七家,名佳花园三区,65,整租,南,3900,NULL,1,1,1,2019820,NULL,需提前预约,低楼层,5,无,NULL,民水,民电,有,自采暖
