城市,区,方位,房屋名,大小,租赁方式,朝向,月租,计费方式,几室,几厅,几卫,入住,租期,看房,所在楼层,总楼高,电梯,车位,用水,用电,燃气,供暖
6,17,63,695,10,1,2,1590,1,3,1,1,2,12,3,3,6,1,0,1,1,2,0
6,12,23,1100,18,1,2,1800,3,1,0,1,2,12,3,2,3,0,0,0,0,0,0
6,11,142,674,47,1,4,4400,1,1,1,1,2,24,2,1,10,1,0,2,2,1,0
6,15,13,831,70,1,2,9500,1,2,1,1,2,12,2,2,6,1,0,1,1,1,0
6,11,58,1179,18,1,2,3300,1,4,1,1,2,12,3,2,35,2,0,1,1,1,0
6,1,125,200,73,1,2,2800,0,2,2,1,2,0,2,2,14,2,0,1,1,1,0
6,10,70,1527,12,1,2,1200,3,5,1,2,2,12,3,2,6,0,0,0,0,0,0
6,14,163,1375,36,1,2,4300,0,1,1,1,2,0,2,3,6,1,0,1,1,1,0
6,15,76,545,61,1,2,8000,0,2,1,1,1,0,2,3,7,1,0,1,1,1,0
6,15,13,956,41,1,2,7500,1,1,1,1,1,36,2,2,6,1,0,1,1,1,0
6,12,23,705,22,1,3,1500,1,1,0,1,2,12,3,3,4,0,0,0,0,0,0
6,7,47,802,20,1,2,2800,3,3,1,1,2,12,3,2,12,2,0,1,1,1,0
6,15,115,321,15,1,2,3380,3,5,2,2,2,12,3,2,27,2,2,1,1,2,2
6,8,99,189,39,1,2,5200,1,1,1,1,1,24,2,3,6,1,0,1,1,2,2
6,1,64,42,93,1,2,2500,0,2,2,1,2,0,2,3,6,1,0,1,1,1,0
6,12,20,907,80,1,2,2800,1,2,1,1,2,12,2,2,14,1,0,0,0,0,0
6,8,119,827,40,1,2,6200,1,1,0,1,2,12,2,2,5,1,0,1,1,2,0
6,8,99,223,52,1,2,6500,1,2,1,1,2,12,2,2,6,1,0,1,1,2,2
6,1,134,864,19,1,2,1504,1,5,0,1,2,0,3,1,6,0,0,0,0,0,0
6,8,129,1167,63,1,2,6200,1,2,1,1,2,12,2,2,6,1,0,1,1,1,0
6,11,58,1179,16,1,2,2200,3,4,1,2,2,12,3,3,34,2,0,1,1,1,0
6,1,72,662,90,1,2,3300,0,2,1,1,1,0,2,3,6,1,0,1,1,1,0
6,15,115,251,59,1,2,8800,1,1,1,1,2,24,2,1,31,2,0,1,1,2,2
6,7,124,290,41,1,2,3600,1,1,1,1,1,24,2,3,6,1,0,1,1,1,0
6,8,42,843,56,1,2,6000,1,1,1,1,1,24,4,1,18,2,0,1,1,2,2
6,1,79,1262,40,1,2,2800,0,1,2,1,2,0,2,1,5,1,0,1,1,1,0
6,12,80,216,16,1,3,1200,3,1,0,1,2,12,3,3,3,0,0,0,0,0,0
6,12,155,548,18,1,2,1600,1,3,1,1,2,12,3,2,18,1,0,0,0,0,0
6,8,6,62,58,1,2,7000,1,1,1,1,2,12,2,1,23,2,0,1,1,1,0
6,11,33,356,34,1,2,4000,0,1,1,1,1,0,2,3,6,1,0,1,1,1,0
6,1,135,51,35,1,2,3000,3,1,1,1,2,24,3,2,26,1,2,2,2,1,1
6,1,12,1128,65,1,2,3500,1,2,1,1,2,12,2,2,6,1,0,1,1,1,0
6,8,31,390,64,1,2,4800,1,2,1,1,2,12,2,3,6,1,0,1,1,1,0
6,12,35,711,52,1,2,2500,0,2,1,1,2,0,2,1,6,1,0,1,1,1,0
6,11,58,1179,28,1,6,2900,3,4,1,2,2,12,3,3,34,2,0,1,1,1,0
6,15,115,1306,72,1,2,9500,1,1,2,1,2,12,2,1,34,2,0,1,1,2,2
6,8,19,1341,28,1,2,3000,3,3,0,3,2,12,3,3,25,2,0,1,1,2,0
6,12,34,793,98,1,2,3000,0,3,1,1,2,0,2,2,27,1,0,1,1,0,0
6,15,112,828,15,1,2,4200,3,4,2,2,2,12,3,3,30,0,2,1,1,2,0
6,1,25,467,118,1,2,2400,0,3,2,2,2,0,2,3,16,2,0,1,1,1,0
6,8,56,274,54,1,2,4600,0,2,0,1,2,0,2,2,6,1,0,1,1,1,0
6,6,67,493,53,1,2,1700,0,2,1,1,2,0,5,3,5,1,0,1,1,2,0
6,11,160,1020,39,1,2,4200,1,1,0,1,2,12,2,2,6,1,0,1,1,2,0
6,2,113,935,15,1,2,1200,3,3,1,1,2,12,3,3,6,1,0,1,1,1,0
6,8,119,1518,41,1,2,5500,0,1,1,1,2,0,2,3,7,1,0,1,1,2,0
6,2,46,1187,39,1,2,2200,0,1,1,1,2,0,2,2,6,1,0,1,1,2,2
6,2,113,417,8,1,4,1530,1,3,1,2,2,12,3,3,18,2,0,1,1,2,0
6,2,113,417,18,1,2,1700,3,3,1,1,2,12,3,2,17,1,0,1,1,1,0
6,11,102,107,89,1,2,4500,1,2,2,1,2,0,2,1,5,1,0,1,1,1,0
6,1,64,1427,79,1,2,2500,0,2,1,1,2,0,2,2,14,2,0,1,1,2,2
6,2,89,900,18,1,4,1800,3,5,0,2,2,12,3,1,12,2,2,1,1,2,0
6,6,67,147,15,1,2,1100,3,4,1,2,2,12,3,2,20,0,0,0,0,0,0
6,1,72,528,64,1,2,3800,1,1,1,1,2,24,2,3,16,2,0,1,1,2,2
6,8,119,1278,54,1,2,6900,1,1,1,1,2,12,2,3,23,2,0,1,1,2,2
6,8,129,148,66,1,6,6000,1,2,1,1,2,36,4,1,6,1,0,1,1,2,2
6,12,78,491,140,1,0,3000,0,4,2,3,0,0,0,3,4,1,0,1,1,1,0
6,1,73,848,35,1,2,3800,0,1,0,1,2,0,2,2,6,1,0,1,1,1,0
6,7,124,688,18,1,6,2600,3,4,1,1,2,12,3,3,16,2,0,1,1,2,0
6,15,76,4,51,1,1,7500,1,1,1,1,2,12,2,2,29,2,0,1,1,1,1
6,10,70,353,14,1,4,1580,3,3,1,1,2,24,3,2,15,1,0,2,2,1,0
6,8,129,794,34,1,2,4700,1,1,1,1,2,24,2,2,6,1,0,1,1,2,2
6,13,109,592,12,1,2,3600,3,5,1,2,2,12,3,3,28,0,0,0,0,0,0
6,11,74,571,12,1,2,2050,3,5,1,1,2,12,3,1,28,0,0,0,0,0,0
6,17,18,817,48,1,3,1900,0,1,1,1,2,0,2,3,3,1,0,2,2,1,0
6,8,129,914,64,1,2,5500,1,2,1,1,2,24,2,3,4,1,0,1,1,2,2
6,14,14,1096,12,1,2,2400,3,4,1,1,2,12,3,1,23,0,0,0,0,0,0
6,8,6,676,47,1,2,5000,0,1,1,1,2,0,2,3,5,1,0,1,1,1,0
6,9,143,394,7,1,4,1290,1,4,1,3,2,12,3,2,11,1,0,1,1,2,0
6,11,58,1179,23,1,2,3200,3,4,2,2,2,12,3,2,34,2,0,1,1,1,0
6,14,163,1545,77,1,2,4000,0,2,1,1,2,0,2,2,35,1,0,0,0,0,0
6,15,112,1483,46,1,4,7000,3,1,1,1,2,24,3,1,22,2,2,1,1,2,2
6,8,31,818,75,1,2,4900,0,2,1,1,2,0,2,1,6,1,0,1,1,1,0
6,11,66,792,36,1,2,3700,0,1,1,1,2,0,2,2,6,1,0,1,1,1,0
6,2,55,498,7,1,4,1790,1,4,1,2,2,12,3,1,13,2,2,1,1,2,0
6,9,4,1161,55,1,2,2000,0,1,1,1,2,0,2,3,29,1,0,2,2,1,0
6,2,113,236,15,1,2,1050,3,2,1,1,2,12,3,2,6,1,0,1,1,1,0
6,16,157,1109,67,1,2,10000,1,1,2,1,2,24,2,1,32,2,0,1,1,1,0
6,12,122,1292,74,1,2,2500,0,2,1,1,2,0,2,3,6,1,0,1,1,1,0
6,2,113,236,18,1,2,1020,3,2,1,1,2,24,3,2,5,1,0,1,1,1,0
6,16,157,632,136,1,2,10000,0,3,2,2,2,0,2,1,24,2,0,2,2,1,2
6,8,6,888,10,1,2,2980,3,5,2,2,2,12,3,2,30,2,2,1,1,2,0
6,16,26,268,68,1,2,10000,1,2,1,1,2,0,2,3,32,2,0,1,1,2,0
3,14,163,1545,56,1,2,3100,0,1,1,1,2,0,2,2,30,1,0,0,0,0,0
6,8,128,862,90,1,2,6600,0,2,2,1,1,0,2,3,35,2,0,1,1,1,0
6,12,34,1436,94,1,2,2800,0,3,2,1,1,0,2,3,6,1,0,1,1,1,0
6,8,42,1459,62,1,2,6300,1,2,1,1,2,12,2,1,6,1,0,1,1,2,2
6,15,112,1483,40,1,2,6000,3,1,1,1,2,12,3,2,22,2,2,1,1,2,2
6,8,119,1502,60,1,2,6100,1,2,0,1,2,12,2,3,7,1,0,1,1,1,0
6,2,113,1328,26,1,6,1560,3,1,1,1,2,12,3,1,22,1,0,1,1,1,0
6,10,65,708,59,1,2,2200,1,2,1,1,1,12,2,2,6,1,0,1,1,1,0
6,8,127,1177,50,1,2,6700,0,1,2,1,2,0,2,2,32,2,0,1,1,2,2
6,17,18,637,15,1,2,1500,3,3,1,1,2,12,3,2,18,1,0,0,0,0,0
6,1,125,80,25,1,2,1700,3,4,1,2,2,12,3,2,3,0,2,0,0,0,2
6,16,157,815,98,1,2,9900,1,2,2,1,2,12,2,3,29,2,0,1,1,2,0
6,11,39,1384,32,1,2,3500,0,1,0,1,2,0,2,2,5,1,0,1,1,1,0
6,8,6,737,55,1,2,6300,1,2,1,1,2,24,2,3,7,1,0,1,1,1,0
6,2,55,1453,30,1,4,2000,0,1,0,1,2,0,2,3,13,2,0,1,1,1,0
6,15,13,1229,33,1,6,7500,0,1,1,1,2,0,2,2,5,1,0,1,1,1,0
6,8,31,1183,111,1,2,7000,0,3,2,1,2,0,2,1,16,2,0,1,1,1,0
6,11,71,1562,17,1,2,2400,1,3,1,2,2,12,3,3,6,1,2,1,1,2,0
6,11,21,1400,18,1,4,1800,3,4,1,1,2,12,3,1,17,2,2,1,1,1,2
6,15,76,99,68,1,8,9000,1,2,1,1,2,36,2,2,6,1,0,1,1,1,0
6,11,21,663,62,1,2,4600,0,1,1,1,2,0,2,3,6,1,0,1,1,1,0
6,8,129,1143,66,1,2,6800,1,2,1,1,2,12,2,2,6,1,0,1,1,1,0
6,11,33,463,26,1,4,3400,0,1,1,1,1,0,2,3,5,1,0,1,1,1,0
6,12,122,1344,48,1,2,2700,0,2,1,2,2,0,2,3,11,2,0,1,1,1,2
6,1,82,1288,20,1,4,1950,3,4,1,4,2,12,3,1,6,0,2,0,0,0,0
6,16,157,872,89,1,2,11000,1,2,2,1,2,36,2,1,33,2,0,1,1,2,2
6,12,35,504,82,1,2,3500,0,3,1,1,2,0,2,2,5,1,0,1,1,1,0
6,1,2,636,16,1,2,1300,3,2,1,1,2,12,3,3,6,1,0,1,1,1,0
6,1,79,1343,24,1,2,1900,5,1,0,1,2,12,3,1,11,2,2,1,1,2,0
6,10,151,587,69,1,2,2100,0,2,1,1,2,0,2,1,18,2,0,0,0,0,0
6,12,155,548,16,1,2,1600,1,3,1,1,2,12,3,2,18,1,2,1,1,2,2
3,14,14,371,30,1,2,4000,0,1,1,1,2,0,2,1,6,1,0,1,1,2,0
6,8,129,67,61,1,2,6500,0,3,1,1,2,0,2,2,6,1,0,1,1,2,2
6,8,6,842,48,1,2,6300,3,2,1,1,2,24,2,3,7,1,0,1,1,2,0
6,17,108,781,9,1,4,1530,1,3,1,1,2,12,3,3,6,1,0,1,1,2,0
6,11,24,850,46,1,2,4500,0,1,1,1,2,0,2,2,7,1,0,1,1,2,2
6,12,34,1036,90,1,2,2800,0,2,2,1,2,0,2,1,14,1,0,1,1,1,0
6,8,119,1250,34,1,2,5300,1,1,0,1,2,36,2,3,6,1,0,1,1,2,2
6,13,86,870,15,1,2,3300,3,5,2,3,2,12,3,1,25,2,0,1,1,2,0
6,1,133,619,10,1,1,1650,3,4,1,2,2,12,3,3,6,0,1,0,0,0,0
3,13,86,870,15,1,2,3300,3,5,2,3,2,12,3,1,25,2,0,1,1,2,0
6,8,129,794,59,1,1,6500,1,2,0,1,2,24,2,3,6,1,0,1,1,2,2
6,15,13,471,54,1,2,7400,1,1,2,1,2,12,2,3,6,1,0,1,1,1,0
6,16,132,803,14,1,2,3700,3,5,1,2,2,12,3,2,32,2,2,1,1,1,0
6,12,34,1036,90,1,2,3000,0,2,2,1,2,0,2,3,14,1,0,1,1,1,0
6,8,42,843,56,1,2,6500,1,1,1,1,2,24,2,1,18,2,0,1,1,2,2
6,11,71,1071,10,1,3,2230,1,4,1,2,2,12,3,1,16,0,0,0,0,0,0
3,17,131,63,12,1,2,1590,1,3,1,1,2,12,3,2,6,1,0,1,1,2,0
6,2,55,1211,30,1,4,2600,0,1,0,1,2,0,2,1,13,2,0,1,1,1,0
6,15,76,1402,40,1,4,8500,0,1,1,1,2,0,2,2,8,2,0,1,1,2,0
6,11,66,1381,48,1,2,4300,0,1,1,1,2,0,2,3,6,1,0,1,1,1,0
6,8,6,114,36,1,2,5800,1,1,1,1,2,12,2,2,6,1,0,1,1,1,0
3,12,78,969,90,1,2,2000,0,2,2,1,2,0,2,3,4,1,0,1,1,1,0
6,1,79,1160,70,1,2,3500,0,2,1,1,2,0,2,2,15,2,0,1,1,1,0
6,1,2,313,18,1,2,1550,3,3,1,3,2,12,3,2,18,0,0,0,0,0,0
6,17,69,1598,18,1,2,1630,3,1,1,1,2,12,3,1,18,2,2,1,1,2,0
3,1,82,516,18,1,4,1900,3,3,1,3,2,12,3,3,6,0,0,0,0,0,0
6,2,51,722,26,1,2,2600,0,1,1,1,2,0,2,2,4,1,0,2,2,1,0
6,15,115,409,38,1,6,5380,3,1,1,1,2,12,3,3,20,1,2,1,1,2,2
6,7,61,856,35,1,2,3300,0,1,1,1,2,0,2,3,6,1,0,1,1,1,0
6,8,119,1043,41,1,2,5400,1,1,1,1,1,36,2,1,6,1,0,1,1,2,2
6,9,143,415,10,1,4,1190,1,4,1,2,2,12,3,3,18,2,2,1,1,2,0
3,1,72,173,100,1,2,3600,1,2,2,1,2,24,2,2,14,2,0,1,1,1,0
6,8,144,168,30,1,2,4700,1,1,1,1,2,12,2,1,6,1,0,1,1,2,0
6,1,72,567,55,1,2,3800,0,1,1,1,1,0,2,2,12,2,0,1,1,1,0
6,16,157,632,72,1,2,10000,0,1,2,1,2,0,2,1,24,2,0,2,2,1,2
6,8,129,863,55,1,2,5700,0,2,1,1,2,0,2,3,6,1,0,1,1,2,2
6,9,130,542,10,1,4,1160,1,4,1,1,2,12,3,1,5,1,0,1,1,2,0
6,2,113,1189,25,1,1,1550,3,1,1,1,2,0,3,3,6,1,2,2,2,1,0
6,8,129,1185,58,1,2,5500,0,1,1,1,1,0,2,3,6,1,0,1,1,1,0
6,11,71,27,42,1,2,3700,0,1,1,1,2,0,2,2,6,1,0,1,1,1,0
6,8,144,61,48,1,2,4800,1,1,1,1,2,0,2,2,6,1,0,1,1,1,0
6,2,89,754,11,1,2,1500,3,4,1,2,2,12,3,3,12,2,2,1,1,1,2
3,1,2,636,16,1,2,2000,3,4,0,3,2,24,3,2,6,2,0,1,1,1,0
6,11,39,881,25,1,2,3300,3,1,1,1,2,12,3,2,6,2,2,1,1,2,0
6,8,6,842,48,1,2,6000,1,2,0,1,2,12,2,2,7,1,0,1,1,2,0
6,11,66,1290,77,1,2,4600,0,2,1,1,2,0,2,2,6,1,0,1,1,1,0
6,6,67,346,85,1,2,1900,0,2,2,1,1,0,2,3,6,1,0,1,1,1,0
3,8,119,559,40,1,2,4800,0,1,1,1,2,0,2,3,6,1,0,1,1,2,0
6,1,72,1041,52,1,2,3200,0,2,1,1,2,0,2,3,5,1,0,1,1,1,0
6,10,48,1349,15,1,4,1450,3,4,1,2,2,12,3,2,14,2,0,1,1,2,0
6,12,23,339,20,1,2,1500,3,1,0,1,2,24,3,3,4,0,0,0,0,0,0
6,7,124,368,41,1,2,3600,0,1,1,1,2,0,2,3,4,1,0,1,1,2,2
6,7,47,742,42,1,2,4000,0,1,1,1,2,0,5,2,6,1,0,1,1,1,0
6,2,89,1061,19,1,2,1758,3,4,1,2,2,12,3,2,19,2,0,1,1,1,0
6,2,113,295,22,1,2,1700,3,3,1,1,2,12,3,1,11,2,1,1,1,1,0
6,15,76,4,60,1,2,9500,1,1,1,1,2,24,2,2,29,2,0,1,1,1,1
6,11,24,325,48,1,3,3900,0,1,1,1,2,0,2,3,20,2,0,2,2,1,0
6,10,68,441,72,1,2,2000,0,2,2,1,2,0,2,3,6,1,0,1,1,1,0
6,11,71,1579,20,1,4,2688,3,3,2,1,2,12,2,3,18,2,0,1,1,2,0
6,12,23,638,15,1,4,1520,3,1,0,1,2,0,3,2,3,0,0,0,0,0,0
6,1,134,187,51,1,2,3000,1,2,0,1,2,12,2,2,5,1,0,1,1,2,2
6,10,93,139,25,1,2,1450,1,3,1,1,2,12,3,3,1,1,0,1,1,1,0
6,11,58,1179,18,1,8,3000,3,5,2,2,2,12,3,1,34,2,0,1,1,1,0
6,8,129,350,40,1,2,4600,1,1,1,1,2,12,2,1,6,1,0,1,1,2,1
6,1,64,1097,81,1,2,2400,0,2,2,1,2,0,2,3,4,1,0,1,1,2,2
6,12,34,990,82,1,2,3300,0,3,1,1,2,0,2,3,6,1,0,1,1,1,0
6,3,149,422,29,1,2,3500,3,1,1,1,2,12,2,2,6,1,0,1,1,1,0
6,11,74,378,38,1,2,4000,1,1,1,1,1,24,2,3,6,1,0,1,1,1,0
6,1,135,936,25,1,2,2300,1,3,1,1,2,12,3,1,13,1,0,1,1,1,0
6,15,112,1075,52,1,2,7800,1,2,1,1,2,36,2,3,4,1,0,1,1,2,1
6,1,25,8,140,1,2,3500,0,4,2,2,2,0,2,1,18,2,0,1,1,1,0
6,10,70,353,15,1,4,1580,3,3,1,2,2,24,3,3,16,1,2,2,2,2,0
6,2,113,1499,25,1,2,1800,1,2,2,1,2,24,3,3,2,0,1,0,0,0,2
6,11,66,1280,52,1,2,3500,0,1,1,1,2,0,2,3,6,1,0,1,1,1,0
6,11,58,1179,30,1,2,2600,1,4,1,2,2,12,3,1,34,2,1,1,1,1,1
6,8,129,1313,55,1,6,5000,1,2,1,1,1,36,4,2,6,1,0,1,1,2,2
6,2,55,1211,30,1,2,2600,0,1,0,1,2,0,2,1,13,2,0,1,1,2,2
6,1,64,42,56,1,2,1500,0,2,1,1,2,0,2,3,5,1,0,1,1,1,2
6,12,20,907,96,1,2,3500,0,3,2,1,2,0,2,2,14,1,0,0,0,1,0
6,1,64,679,96,1,2,2800,0,2,2,1,2,0,2,3,5,1,0,1,1,1,0
6,8,6,875,12,1,2,3590,1,3,1,1,2,12,3,2,24,0,0,0,0,0,0
6,1,88,677,12,1,2,1600,3,5,0,5,2,12,3,1,11,0,2,0,0,0,0
6,7,158,133,41,1,2,3800,0,1,0,1,1,0,2,1,6,1,0,1,1,1,0
6,12,155,432,9,1,2,1730,1,3,1,1,2,12,3,3,18,0,2,0,0,0,0
6,11,160,1307,28,1,2,2500,3,3,1,2,2,12,3,2,21,2,0,1,1,2,0
6,8,6,682,48,1,2,6700,0,2,0,1,2,0,3,2,6,1,0,1,1,2,2
6,2,89,586,118,1,2,6200,0,2,2,2,2,0,3,1,15,2,0,1,1,2,2
6,13,57,410,20,1,4,2750,1,3,1,3,2,24,3,3,6,1,2,1,1,1,2
6,8,129,350,57,1,2,5800,0,2,1,1,2,0,3,3,6,1,0,1,1,2,1
6,8,144,1357,50,1,2,4300,1,1,1,1,2,24,3,3,6,1,2,1,1,2,0
6,8,6,670,32,1,2,4900,0,1,1,1,2,0,3,1,7,2,0,1,1,1,0
6,1,41,1463,69,1,2,6800,0,2,1,1,2,0,3,1,25,2,0,1,1,1,0
6,10,70,307,58,1,2,4800,0,1,1,1,2,0,3,2,16,2,0,1,1,2,2
6,15,13,1311,31,1,2,5760,1,1,1,1,2,12,3,3,6,1,0,1,1,2,0
6,11,39,881,25,1,1,3100,3,1,1,1,2,12,3,2,4,2,2,1,1,2,0
6,1,121,748,9,1,4,1890,3,3,1,1,1,12,3,3,6,0,0,0,0,0,0
6,2,89,219,97,1,2,6200,0,2,2,1,2,0,3,2,14,2,0,1,1,2,2
6,2,89,1439,60,1,2,4300,0,2,1,1,2,0,3,2,6,1,0,1,1,1,0
6,1,41,1583,36,1,2,4600,0,1,1,1,2,0,3,1,6,1,0,1,1,1,0
6,2,96,1213,15,1,6,1400,3,3,1,1,2,12,3,1,13,2,0,1,1,1,0
6,1,41,1294,40,1,2,4100,0,1,0,1,2,0,3,3,6,1,0,1,1,1,0
6,1,54,408,39,1,2,4500,0,1,1,1,2,0,3,3,6,1,0,1,1,1,0
6,2,113,1310,15,1,2,1050,3,3,1,1,2,12,3,2,18,0,0,0,0,0,0
6,2,75,1501,53,1,2,3300,0,1,1,1,2,0,3,-2,6,1,0,1,1,1,0
6,1,41,193,40,1,2,4800,0,1,0,1,2,0,3,3,6,1,0,1,1,2,0
6,1,136,1492,51,1,2,4300,0,1,1,1,2,0,3,1,6,1,0,1,1,1,0
6,16,1,1300,32,1,4,5160,1,1,1,1,2,12,3,3,7,1,0,1,1,2,0
6,8,129,1313,54,1,2,5600,0,2,1,1,2,0,3,3,6,1,0,1,1,2,2
6,2,103,393,87,1,2,5400,0,2,2,1,2,0,3,3,6,1,0,1,1,1,0
6,11,39,120,25,1,3,3300,3,1,1,1,2,24,3,3,6,1,0,1,1,1,0
6,3,149,684,18,1,2,2800,1,2,1,1,2,0,3,3,6,1,2,1,1,1,0
6,8,144,1585,62,1,2,6800,0,1,1,1,2,0,3,2,22,2,0,1,1,2,0
6,2,75,1378,76,1,2,4999,0,3,0,0,2,0,3,1,6,1,0,1,1,1,0
6,10,70,887,41,1,2,4200,0,1,1,1,2,0,3,2,15,2,0,1,1,2,0
6,2,60,1317,45,1,2,4500,0,1,1,1,2,0,3,3,6,1,0,1,1,1,0
6,2,75,610,104,1,2,6000,0,2,2,1,2,0,3,2,17,2,0,1,1,2,0
6,2,103,1592,53,1,2,4200,0,2,1,1,2,0,3,3,6,1,0,1,1,2,0
6,14,14,414,11,1,2,2560,1,3,1,2,2,12,3,2,22,2,0,1,1,2,0
6,8,144,1383,19,1,2,2600,3,3,1,2,2,12,3,2,35,2,1,1,1,2,1
6,1,121,1,18,1,2,2200,3,2,1,1,2,12,3,1,6,1,0,1,1,1,0
6,2,75,1530,54,1,2,3500,0,1,1,1,2,0,3,1,13,2,0,1,1,1,0
6,1,121,738,8,1,4,1890,1,3,1,1,2,12,3,3,6,2,0,1,1,2,0
6,10,70,1069,119,1,2,7800,0,3,2,2,2,0,3,3,20,2,0,1,1,2,0
6,10,70,307,106,1,2,7300,0,3,2,1,2,0,3,3,14,2,0,1,1,2,2
6,1,133,619,10,1,1,1650,3,4,1,2,2,12,3,3,6,1,2,1,1,1,2
6,2,75,1389,84,1,2,6600,0,2,2,1,2,0,3,1,17,2,0,1,1,1,0
6,10,70,887,68,1,2,5650,0,2,2,2,2,0,3,-2,15,2,0,1,1,2,0
6,10,70,1339,96,1,2,5500,0,2,2,1,2,0,3,2,13,2,0,1,1,2,0
6,11,39,120,25,1,2,3200,3,1,1,1,2,24,3,3,6,1,0,1,1,1,0
6,10,70,97,135,1,2,7600,0,3,2,2,2,0,3,1,29,2,0,1,1,1,0
6,16,157,399,48,1,2,6900,3,1,1,1,2,12,3,3,7,1,0,1,1,1,2
6,11,58,1179,10,1,2,1700,3,3,2,1,2,12,3,2,34,2,2,1,1,1,2
6,9,92,302,16,1,2,1300,3,4,1,3,2,12,3,2,12,2,2,1,1,1,2
6,1,136,1500,15,1,2,2080,3,1,0,1,2,12,3,3,3,1,1,1,1,1,2
6,1,121,1431,44,1,2,4500,0,1,1,1,2,0,3,1,6,1,0,1,1,1,0
